"gene_symbol","logFC","logCPM","F","PValue","FDR","gene"
"AC007000.11",0.441047445788901,-2.00184552392108,2.2757636682643,0.13852519721854,0.423865248937717,"AC007000.11"
"AC007000.10",0.609977546346802,-2.04762435044816,2.90748791668419,0.095010127980083,0.349689910453033,"AC007000.10"
"FAM185BP",0.220979819270007,0.362323085250469,2.86798746949601,0.0977180633824033,0.354323786930908,"FAM185BP"
"RP11-467H10.1",0.585859157820797,-0.689006114409307,9.17229068084767,0.00420260705189342,0.0739444109386065,"RP11-467H10.1"
"CCDC146",0.501500125071476,3.02640509926371,5.79021438868943,0.020552011478849,0.164095880352375,"CCDC146"
"FGL2",-0.456102627612051,-2.28197553372306,2.0940962956469,0.154525477549128,0.446444376061169,"FGL2"
"AC073635.5",0.409527007111529,-1.00135718679786,1.60182110923256,0.21270162554659,0.517522837586213,"AC073635.5"
"GSAP",0.145017026498886,1.56471382282258,0.35849610529076,0.552531196412058,0.793093106625123,"GSAP"
"PTPN12",0.250721798553954,6.30905987759325,9.82946911930804,0.00311620791583903,0.0633175665508019,"PTPN12"
"RSBN1L-AS1",-0.175344416442982,3.2181558078466,4.6221834868035,0.0373129847870086,0.220549814837704,"RSBN1L-AS1"
"RSBN1L",0.164249391204576,5.84127225526889,6.53526335313264,0.0142455442841274,0.135040557010238,"RSBN1L"
"TMEM60",-0.209518414678314,3.11884453506176,4.64632617638059,0.0368446395678334,0.219540666531256,"TMEM60"
"PHTF2",0.185104150840833,5.91867741121127,4.56799431299964,0.0383876050535814,0.223608672995535,"PHTF2"
"RP5-1185I7.1",-0.0694108777726048,-3.03226264104464,0.0411172279770257,0.839884984794978,0.94099677063621,"RP5-1185I7.1"
"MAGI2",-0.0604198177888456,6.26158819143921,0.591458648912961,0.44612037024181,0.727516388061774,"MAGI2"
"RPL13AP17",0.642942465609291,-3.12807943525884,1.35993831459265,0.247069386480048,0.556969353920903,"RPL13AP17"
"MAGI2-AS3",-0.020770461888732,5.29708146480121,0.0181419707040997,0.893492909215223,0.964620076683539,"MAGI2-AS3"
"GNAI1",-0.23160640946649,7.12090358368221,5.09793959395237,0.0291625259595217,0.196201707248002,"GNAI1"
"AC004862.6",0.515407188657076,-3.77022330643409,0.386200615139285,0.53575048248658,0.78325917482453,"AC004862.6"
"CD36",-0.00832262700712318,0.994076447989469,0.000420007750307035,0.983749679331445,1,"CD36"
"GNAT3",-1.92074192870395,-1.51852802874162,7.92703921125979,0.00739290234447262,0.0964765179500841,"GNAT3"
"AC073850.6",-1.19441028216823,-4.10188230449908,1.91340571746209,0.172975689958747,0.469857707688179,"AC073850.6"
"SEMA3C",-0.180742413851452,8.04397947910805,0.695672946869124,0.409292228968653,0.700000880330397,"SEMA3C"
"AC010091.1",0.577564927362693,-4.23491279126662,0.191897922932394,0.664679060857335,0.856587075269662,"AC010091.1"
"HGF",2.68203455577309,-1.4112925875815,9.58175640597122,0.00314565275677711,0.0636767154828894,"HGF"
"CACNA2D1",0.524657690320564,5.37477586501271,4.01973245507163,0.0518189764459008,0.260330130456648,"CACNA2D1"
"MIR1255B1",0.41337403660844,-3.74131203838014,0.303378359705796,0.582999332107894,0.812742119615115,"MIR1255B1"
"PCLO",0.0309258859181771,7.64103419591985,0.0365507646494623,0.849335549215973,0.945655604969562,"PCLO"
"SEMA3E",0.54585503419141,4.4958427377644,1.47735893751843,0.231572430491844,0.53779656681888,"SEMA3E"
"SEMA3A",-0.284771174845381,5.55138191841317,2.13096061635451,0.15200568072721,0.443288602445657,"SEMA3A"
"AC074183.4",-0.292408078517434,-1.80157453163696,1.42709172458141,0.238936071421429,0.546003223338228,"AC074183.4"
"HNRNPA1P8",-0.286432853149631,-3.40143849827384,0.359653718171717,0.550108228811459,0.791730740263576,"HNRNPA1P8"
"SEMA3D",0.5224620348709,5.41814309926359,1.5009606565464,0.22796866504752,0.534216966832765,"SEMA3D"
"HSPA8P16",0.405621142647703,-3.6235904101217,0.225365844822124,0.635995952101012,0.841976427807517,"HSPA8P16"
"AC092013.1",1.56421273677719,-4.31173624314299,1.83675521420003,0.192375216024351,0.493169736795333,"AC092013.1"
"GRM3",-0.0202569903040728,4.08114422665006,0.0074974940099839,0.931421280953076,0.981344297278579,"GRM3"
"AC005009.1",0.279735851175734,-0.846893799968891,1.0539166555665,0.3105407045978,0.620768697906763,"AC005009.1"
"AC005009.2",0.203192078877976,-0.507121599699944,0.99843823204243,0.323427632162808,0.630419092792331,"AC005009.2"
"KIAA1324L",0.0105900517907434,6.30772577581281,0.0135192214626092,0.907986019313957,0.971603601499786,"KIAA1324L"
"CTA-254O6.1",0.353290760157709,1.21966637970605,3.76530280092045,0.0590037267894931,0.277132744323594,"CTA-254O6.1"
"AC005076.5",-0.254073203012035,-1.09669953071911,1.22708533446318,0.27438487025444,0.585573023238891,"AC005076.5"
"DMTF1",0.254961078172674,7.26301324064021,4.46966980209975,0.0404254679038362,0.230391570423149,"DMTF1"
